Pdt,stream,treatment,GPP_L95per,GPP_median,GPP_U95per,ER_L95per,ER_median,ER_U95per,LightPerDay,meanTemp,meanQds,meanDepthM,meanWidthM,pmax,alpha,julian,one_over_kT,monthday,P_R,NEP
6/28/15,st6,ambient,8.753699309,14.07261638,19.12636476,-12.69595193,-8.805516919,-4.417227536,2444052480,13.95812619,0.027750054,0.056442243,1.32,0.062873455,1.71E-06,179,40.41864737,28-Jun,1.59815903,5.267099461
6/29/15,st6,ambient,9.977114618,15.80209667,21.50721583,-13.41825411,-8.817075707,-4.292639091,2792144315,14.19614475,0.025456374,0.057668771,1.32,0.079967022,1.82E-06,180,40.38516724,29-Jun,1.792215151,6.985020963
6/30/15,st6,ambient,11.41097881,17.24861231,23.0074101,-5.349651543,-3.704172076,-1.965707597,3100485852,14.13444719,0.022040294,0.058539732,1.32,0.097723911,2.31E-06,181,40.3938404,30-Jun,4.656536456,13.54444023
7/1/15,st6,ambient,6.662590284,11.45502479,15.61949075,-7.97069572,-5.392397185,-2.464813256,1252527080,13.82609262,0.020664366,0.05894944,1.32,0.0815147,3.25E-06,182,40.43724341,1-Jul,2.124291738,6.062627605
7/2/15,st6,ambient,9.020807582,14.51530523,19.47835782,-6.94424626,-4.751109811,-2.345399137,2509167849,14.2834848,0.021584224,0.058898529,1.32,0.090148545,2.56E-06,183,40.37289573,2-Jul,3.055139916,9.764195419
7/3/15,st6,ambient,10.40104758,15.44275441,20.29654804,-7.559017414,-5.110545319,-2.786691933,3182668870,14.70206906,0.018884525,0.05869777,1.32,0.106510387,2.39E-06,184,40.3141869,3-Jul,3.021742974,10.33220909
7/4/15,st6,ambient,11.79574248,17.29885823,23.29335834,-8.810296172,-5.83731026,-3.083366341,2895058420,14.63606546,0.020367804,0.058981545,1.32,0.107406555,2.49E-06,185,40.32343294,4-Jul,2.963498163,11.46154797
7/5/15,st6,ambient,9.198386503,14.37512213,19.32096143,-9.506806601,-6.363660305,-3.058347129,1773508927,14.44888893,0.019989149,0.058980216,1.32,0.104858401,3.38E-06,186,40.34967643,5-Jul,2.258939265,8.011461825
7/6/15,st6,ambient,10.80565396,16.72524996,22.32833704,-9.191555515,-6.319265741,-3.118530291,2701236354,14.65662709,0.018836579,0.058735159,1.32,0.120095332,2.90E-06,187,40.32055213,6-Jul,2.646707805,10.40598422
7/7/15,st6,ambient,11.03783837,16.51169871,22.01306112,-8.386191719,-5.706217312,-2.908144243,3764833346,14.87424506,0.016674808,0.057891017,1.32,0.115724127,2.77E-06,188,40.29008776,7-Jul,2.893632998,10.8054814
7/8/15,st6,ambient,11.36840172,17.70368824,23.07033728,-10.0901911,-6.834236804,-3.26052756,4411255915,14.80036504,0.016819815,0.058005256,1.32,0.126576241,2.69E-06,189,40.30042507,8-Jul,2.590441149,10.86945144
7/9/15,st6,ambient,10.81259853,17.42761746,23.11118276,-9.256829778,-6.353987077,-3.053197073,5489771718,14.75517677,0.016060868,0.05754047,1.32,0.108626101,2.86E-06,190,40.30675044,9-Jul,2.74278453,11.07363038
7/10/15,st6,ambient,9.755441616,14.9110864,19.66050664,-10.64272427,-7.157053597,-4.0150878,3384441902,14.65166109,0.015227547,0.056892185,1.32,0.116353515,2.99E-06,191,40.32124786,10-Jul,2.083411309,7.754032803
7/11/15,st6,ambient,10.26048044,15.58803096,20.77557361,-10.43890454,-7.077466615,-3.658323895,2197284614,14.51468467,0.01574466,0.057392203,1.32,0.12536035,3.55E-06,192,40.3404475,11-Jul,2.202487388,8.510564345
7/12/15,st6,ambient,11.60969109,17.38279443,23.02294683,-11.92134729,-8.303136424,-4.260517403,2855001536,14.86968188,0.016346438,0.05777268,1.32,0.130839814,3.52E-06,193,40.29072609,12-Jul,2.093521477,9.079658006
7/13/15,st6,ambient,6.657417556,10.34566894,13.73204028,-10.13996156,-6.959209521,-3.700296309,1105184515,14.826702,0.013931841,0.055613489,1.32,0.10651166,4.56E-06,194,40.29673939,13-Jul,1.486615528,3.386459419
7/14/15,st6,ambient,7.678367765,12.25383621,16.24242772,-10.56666295,-7.244653722,-3.782527284,1208941994,14.56578746,0.014538531,0.05627872,1.32,0.118139446,4.72E-06,195,40.33328241,14-Jul,1.691431596,5.009182488
7/15/15,st6,ambient,12.48428229,18.29998106,24.01814828,-11.22258407,-7.576695325,-3.806728452,3571887676,15.28132636,0.014156835,0.055816087,1.32,0.143621278,3.93E-06,196,40.23322382,15-Jul,2.415298527,10.72328574
7/16/15,st6,ambient,11.65600222,17.11709395,22.34902333,-13.4742327,-9.197952767,-5.147966292,2445707822,15.14200604,0.014287108,0.056051341,1.32,0.148598589,4.03E-06,197,40.25266697,16-Jul,1.860967803,7.919141183
7/17/15,st6,ambient,11.31922982,16.70445027,21.78474883,-11.46606381,-7.706184923,-3.99073643,3680930612,15.42400651,0.012817159,0.054164814,1.32,0.141724669,3.33E-06,198,40.21333124,17-Jul,2.167667975,8.998265347
7/18/15,st6,ambient,12.5936593,17.90980317,23.75543492,-12.88053938,-8.56054267,-4.374415666,4115468144,15.26778661,0.012973627,0.054429373,1.32,0.152079638,2.69E-06,199,40.23511257,18-Jul,2.092134092,9.3492605
7/19/15,st6,ambient,11.38243742,16.91801388,22.47213145,-13.60279884,-9.265110545,-4.887620232,3124421363,14.22914447,0.013864483,0.055380351,1.32,0.154915622,3.75E-06,200,40.38052981,19-Jul,1.825991584,7.652903335
7/20/15,st6,ambient,11.21534643,15.99147961,20.81138317,-12.64704516,-8.528266459,-4.6547402,2429966793,14.47330637,0.012759625,0.053920039,1.32,0.139323422,4.30E-06,201,40.34625099,20-Jul,1.875114912,7.463213151
7/21/15,st6,ambient,10.12790145,14.36726893,18.66194831,-9.937956394,-6.912884408,-3.833965129,2680757977,14.94321947,0.01008612,0.048973863,1.32,0.150887569,3.73E-06,202,40.28044163,21-Jul,2.078332008,7.454384522
7/22/15,st6,ambient,9.850760847,14.35618439,18.41938188,-9.744590229,-6.491256946,-3.342333764,3001635764,15.26713096,0.009576491,0.047852817,1.32,0.165662001,3.51E-06,203,40.23520403,22-Jul,2.211618568,7.864927444
7/23/15,st6,ambient,8.112169158,11.60342431,15.02645961,-8.310509368,-5.603034006,-3.039513603,3118043529,15.37243215,0.008210621,0.044073935,1.32,0.140594862,3.09E-06,204,40.22051951,23-Jul,2.070918059,6.000390304
7/24/15,st6,ambient,5.946632151,8.619175698,11.39971365,-9.03738487,-6.139879417,-3.200991877,1534513773,15.26712209,0.00804971,0.043600842,1.32,0.112248072,3.75E-06,205,40.23520527,24-Jul,1.403802113,2.479296281
7/25/15,st6,ambient,6.371316392,9.427913637,12.75149762,-8.672117896,-5.979148186,-2.962822689,1400198139,15.19818516,0.008878821,0.046032208,1.32,0.136012944,3.95E-06,206,40.24482451,25-Jul,1.576798792,3.448765451
7/26/15,st6,ambient,7.98557571,11.6482324,15.33930076,-10.87740473,-7.536016502,-3.818839417,1789572758,15.26343999,0.009631687,0.047920213,1.32,0.168267921,3.91E-06,207,40.23571894,26-Jul,1.545675012,4.112215898
7/27/15,st6,ambient,8.425291498,12.31079594,16.05184803,-11.68170125,-7.691032926,-3.849454425,1673226216,15.34296336,0.009557781,0.047801554,1.32,0.146367696,4.70E-06,208,40.22462793,27-Jul,1.600668734,4.619763014
7/28/15,st6,ambient,8.14977756,11.96478417,15.48514916,-12.02738088,-8.339458357,-4.280692321,2333742278,15.69480333,0.009605493,0.047909159,1.32,0.165891709,3.98E-06,209,40.17563057,28-Jul,1.434719577,3.625325813
7/29/15,st6,ambient,10.71875206,15.50145518,20.46521935,-13.47154268,-9.021569145,-4.867842282,2857472946,15.59695324,0.010332865,0.049597982,1.32,0.16023589,4.27E-06,210,40.18924522,29-Jul,1.718265961,6.479886035
7/30/15,st6,ambient,9.963108079,14.41774664,18.72639097,-13.36663595,-9.207780743,-5.020733508,2580021090,15.27338742,0.00995842,0.048762659,1.32,0.150300233,3.89E-06,211,40.23433125,30-Jul,1.565822107,5.209965897
7/31/15,st6,ambient,9.416206512,13.48879179,17.63780939,-11.53081186,-7.94950148,-3.773041215,3847570920,15.55220284,0.009295599,0.047156104,1.32,0.155351558,3.13E-06,212,40.19547477,31-Jul,1.696809772,5.53929031
8/1/15,st6,ambient,7.922375491,11.14351423,14.31307752,-12.01734543,-8.128380914,-4.444046083,2747432070,14.94204257,0.009176787,0.046792124,1.32,0.148941747,2.89E-06,213,40.28060618,1-Aug,1.370938979,3.015133316
8/2/15,st6,ambient,5.902894475,8.467442748,10.79215978,-7.254370179,-4.752484035,-2.577607936,2901919680,15.66553142,0.007030686,0.039178175,1.32,0.116187297,2.50E-06,214,40.17970243,2-Aug,1.781687784,3.714958713
8/3/15,st6,ambient,3.740587609,5.636086353,7.351106075,-4.582451454,-3.052161719,-1.562883833,3651930630,15.85361414,0.005115661,0.032293558,1.32,0.073135275,1.90E-06,215,40.1535536,3-Aug,1.846588376,2.583924634
8/4/15,st6,ambient,4.033905441,5.957333722,7.930022543,-5.669637049,-3.819968403,-1.981803505,3159289350,15.59957279,0.005353285,0.03330311,1.32,0.19606372,1.12E-06,216,40.18888062,4-Aug,1.559524345,2.137365319
8/5/15,st6,ambient,6.34511919,8.79795661,11.37442703,-8.355321532,-5.687885653,-3.231735838,2758601520,15.66347195,0.006616481,0.038558724,1.32,0.12310384,2.60E-06,217,40.17998895,5-Aug,1.546788587,3.110070957
8/6/15,st6,ambient,6.128058163,8.648501479,11.29904813,-8.527269252,-5.781576033,-2.84292492,4492278540,15.92492307,0.006762891,0.038957211,1.32,0.113778251,2.56E-06,218,40.14364853,6-Aug,1.495872653,2.866925446
8/7/15,st6,ambient,7.040007314,10.0723681,13.30946046,-12.06848331,-8.286425481,-4.385123433,3894429870,15.76081238,0.00791476,0.04313722,1.32,0.130597467,2.47E-06,219,40.16645142,7-Aug,1.215526299,1.785942619
8/8/15,st6,ambient,4.864121581,7.516004128,9.801825705,-12.05664334,-8.456771758,-4.744592734,1028741760,15.19569518,0.00801299,0.043459034,1.32,0.111277181,4.40E-06,220,40.24517204,8-Aug,0.888755703,-0.94076763
8/9/15,st6,ambient,6.00520944,8.783520067,11.72575897,-11.37553566,-7.898984108,-4.486001029,3127959450,15.61918878,0.008115899,0.043748217,1.32,0.115664808,2.95E-06,221,40.18615061,9-Aug,1.111980977,0.884535959
6/4/16,st6,phosphorus,5.221226753,8.678031641,11.81058055,-29.00280769,-19.67049233,-10.65612946,4682300401,13.6750428,0.027933149,0.06030661,1.12,0.034836853,8.20E-07,156,40.45853876,4-Jun,0.441170027,-10.99246069
6/5/16,st6,phosphorus,5.485869018,8.906542057,11.8277295,-18.94698409,-12.80883055,-6.615220745,3220520036,13.52427247,0.019953982,0.062366591,1.12,0.058498702,1.65E-06,157,40.47981708,5-Jun,0.69534389,-3.902288493
6/6/16,st6,phosphorus,5.04622287,8.570796512,12.29390386,-16.13083991,-10.86759981,-5.731213999,5078655755,14.05216388,0.017611658,0.059871062,1.12,0.054610573,1.84E-06,158,40.40541322,6-Jun,0.788655882,-2.296803298
6/7/16,st6,phosphorus,4.601363466,7.789789925,10.71723492,-15.58356897,-10.47791578,-5.979764168,4832298816,13.94693856,0.016493889,0.058158389,1.12,0.052243027,1.29E-06,159,40.42022241,7-Jun,0.743448419,-2.688125855
6/8/16,st6,phosphorus,4.454025746,7.175136701,9.738545316,-14.71570305,-9.911064679,-5.329095554,2919482336,13.84757741,0.015055218,0.055546576,1.12,0.051666126,1.70E-06,160,40.43421626,8-Jun,0.723952162,-2.735927978
6/9/16,st6,phosphorus,3.440239451,5.525584765,7.519624818,-15.57523335,-10.4551478,-5.501530298,1438259567,13.87837654,0.015290637,0.056034627,1.12,0.053071339,2.11E-06,161,40.42987753,9-Jun,0.528503745,-4.929563035
6/10/16,st6,phosphorus,3.061654275,5.159343066,7.093318392,-14.05812984,-9.644675235,-5.374016938,1059983762,13.66154149,0.01447112,0.054290097,1.12,0.048641446,2.48E-06,162,40.46044329,10-Jun,0.534942125,-4.485332169
6/14/16,st6,phosphorus,3.726446208,6.212842884,8.72725064,-8.325685027,-5.427068736,-2.750192026,4132885955,14.02535739,0.011313053,0.04636329,1.12,0.041258426,3.66E-06,166,40.40918488,14-Jun,1.144787948,0.785774148
6/15/16,st6,phosphorus,3.668294642,6.039275168,8.227888497,-9.477511946,-6.345973187,-3.26695764,1897047285,13.8099219,0.011937601,0.048210086,1.12,0.04943023,2.41E-06,167,40.43952212,15-Jun,0.951670451,-0.306698019
6/16/16,st6,phosphorus,2.986427306,5.020330383,6.848680357,-10.79508695,-7.344614469,-3.904173599,1251574858,13.79483821,0.012397653,0.049439864,1.12,0.05487594,2.29E-06,168,40.44164789,16-Jun,0.683538994,-2.324284086
6/17/16,st6,phosphorus,4.040656695,6.699610117,9.144828293,-7.651571828,-5.267827273,-2.820262249,3178521095,14.34088912,0.011886634,0.04805168,1.12,0.050331606,2.05E-06,169,40.36483433,17-Jun,1.271797606,1.431782844
6/18/16,st6,phosphorus,3.1452392,5.0176695,6.8759675,-9.211790456,-6.142565575,-2.920124203,1674859203,13.42417399,0.012087806,0.048486472,1.12,0.049721404,2.20E-06,170,40.49395641,18-Jun,0.816868691,-1.124896075
6/19/16,st6,phosphorus,3.854575171,6.704347561,9.143552162,-11.71026354,-7.943962822,-4.3492982,1409152192,13.89551255,0.012947503,0.050829062,1.12,0.060704616,2.55E-06,171,40.42746395,19-Jun,0.843955053,-1.239615261
6/20/16,st6,phosphorus,3.089769896,4.812762477,6.32984654,-12.06086612,-8.168617183,-4.326849303,981828403.1,13.71919003,0.01308746,0.051115347,1.12,0.06063633,3.45E-06,172,40.45231246,20-Jun,0.589177136,-3.355854706
6/21/16,st6,phosphorus,4.880542317,7.770768145,10.48430337,-10.75781118,-7.268755732,-3.852865477,3232325762,14.13923117,0.013648906,0.052301296,1.12,0.061791412,1.89E-06,173,40.39316776,21-Jun,1.069064422,0.502012413
6/22/16,st6,phosphorus,7.024115297,11.36970159,15.53879689,-18.67438089,-12.74937511,-7.196001873,4701644819,14.59608955,0.016071861,0.057381357,1.12,0.080707278,2.29E-06,174,40.32903498,22-Jun,0.891785008,-1.37967352
6/23/16,st6,phosphorus,8.421998054,13.61019908,18.53492384,-20.36383316,-13.9210381,-8.009065557,5212243769,14.88087073,0.016652184,0.058375113,1.12,0.08495881,3.94E-06,175,40.28916095,23-Jun,0.977671276,-0.31083902
6/24/16,st6,phosphorus,3.58574386,6.337930818,8.295955097,-20.30363896,-13.78522478,-7.09812302,539516688.2,14.04946446,0.016312404,0.057893698,1.12,0.062138158,5.03E-06,176,40.405793,24-Jun,0.459762602,-7.447293962
6/25/16,st6,phosphorus,7.732946808,12.3904474,17.14600828,-22.46708421,-15.05584994,-7.845283252,1717441599,14.52203043,0.01793364,0.06025388,1.12,0.096916425,3.76E-06,177,40.3394174,25-Jun,0.822965655,-2.66540254
6/26/16,st6,phosphorus,6.072802078,9.812718402,13.42958771,-22.66901517,-15.08405547,-7.993147731,994045172.2,14.06157317,0.018034225,0.060375375,1.12,0.083614629,4.64E-06,178,40.40408951,26-Jun,0.650535821,-5.271337068
6/27/16,st6,phosphorus,7.972041539,12.43972822,16.44046766,-21.72026769,-14.94308596,-7.941441721,1855032745,14.30264472,0.017631613,0.059653391,1.12,0.093410711,3.75E-06,179,40.37020471,27-Jun,0.832473845,-2.50335774
6/28/16,st6,phosphorus,9.076149524,14.30222791,19.37479822,-23.78772763,-15.89537515,-8.217213774,2534464779,14.4875029,0.018361061,0.060641411,1.12,0.103526571,3.16E-06,180,40.34425968,28-Jun,0.899772907,-1.59314724
6/29/16,st6,phosphorus,8.910562665,13.56399078,18.70033265,-22.27459543,-14.73790011,-7.612557252,3050855158,14.46405889,0.018732392,0.061086765,1.12,0.103887468,2.36E-06,181,40.34754822,29-Jun,0.920347585,-1.17390933
6/30/16,st6,phosphorus,9.824489607,15.27436894,20.91761037,-25.35120617,-16.8737601,-8.779730015,2392995319,14.63149721,0.021677961,0.063255683,1.12,0.09930058,3.37E-06,182,40.32407303,30-Jun,0.9052143,-1.59939116
7/1/16,st6,phosphorus,12.74059622,20.18499199,27.10144283,-23.7740183,-15.88380034,-7.732952899,3043348715,14.6187139,0.025426328,0.063291524,1.12,0.095411696,3.13E-06,183,40.32586431,1-Jul,1.270791093,4.30119165
7/2/16,st6,phosphorus,12.37008917,19.32817869,25.79830471,-21.98043597,-14.94191358,-7.440635121,2931696269,14.11637268,0.02625798,0.06285143,1.12,0.089920493,2.92E-06,184,40.39638194,2-Jul,1.293554442,4.38626511
7/3/16,st6,phosphorus,11.99949355,19.02031666,25.93693802,-24.01931129,-16.58438187,-7.999133362,4933661087,14.79052182,0.021950055,0.063569259,1.12,0.109058721,2.35E-06,185,40.30180274,3-Jul,1.146881253,2.43593479
7/4/16,st6,phosphorus,10.54896068,17.26540947,23.2949152,-25.65417482,-17.29436384,-9.099923942,4686191313,15.15535157,0.018485917,0.060903448,1.12,0.121544157,2.38E-06,186,40.2508037,4-Jul,0.998325792,-0.02895437
7/5/16,st6,phosphorus,9.709139335,15.64927473,21.57140649,-22.66931559,-15.18442195,-8.234205006,4017958497,15.20196341,0.016790792,0.058563324,1.12,0.107091749,3.66E-06,187,40.24429719,5-Jul,1.030613795,0.46485278
7/6/16,st6,phosphorus,12.08556561,19.18111086,26.74495915,-25.51503599,-17.82706636,-9.575803521,5837144433,15.62263148,0.017532645,0.059724579,1.12,0.117722087,6.48E-06,188,40.18567151,6-Jul,1.075954421,1.3540445
7/8/16,st6,phosphorus,11.60219537,18.79372648,25.22385062,-25.62439557,-17.42605846,-9.701864195,3552169991,14.60084739,0.017203652,0.059183916,1.12,0.124713654,3.71E-06,190,40.32836816,8-Jul,1.078484072,1.36766802
7/9/16,st6,phosphorus,12.0252108,18.72828852,25.01422488,-26.22768021,-17.22069054,-7.791673145,4611585563,14.91555598,0.017045627,0.059053917,1.12,0.125167065,4.22E-06,191,40.28430984,9-Jul,1.087545733,1.50759798
7/10/16,st6,phosphorus,10.02605083,16.26150248,21.46435541,-25.48481303,-17.20539645,-8.584252819,2619660275,14.99665935,0.015949163,0.057216072,1.12,0.137074703,3.28E-06,192,40.27297119,10-Jul,0.945139656,-0.94389397
7/11/16,st6,phosphorus,11.64314697,17.92618609,24.03977084,-25.81935586,-17.15038862,-8.077862243,2641857733,15.21434123,0.01556327,0.056564051,1.12,0.139466982,3.66E-06,193,40.24256973,11-Jul,1.045234979,0.77579747
7/12/16,st6,phosphorus,12.54399932,19.50956207,26.43331273,-28.03337423,-19.09824089,-9.924932922,3484305524,15.32102265,0.015951859,0.05726004,1.12,0.143034139,3.74E-06,194,40.22768736,12-Jul,1.021537124,0.41132118
7/13/16,st6,phosphorus,13.80482544,20.81852303,27.33471659,-28.55956548,-19.1496806,-9.743353202,4617449789,15.64145819,0.015920308,0.057155193,1.12,0.142937442,5.72E-06,195,40.18305175,13-Jul,1.087147272,1.66884243
7/14/16,st6,phosphorus,9.57708501,14.90507411,19.95619917,-30.50769117,-21.38993503,-11.71877497,1386321352,14.65949988,0.015760935,0.056920313,1.12,0.138433577,5.59E-06,196,40.32014967,14-Jul,0.696826526,-6.48486092
7/15/16,st6,phosphorus,10.44094666,16.55864073,21.97683319,-30.60556236,-20.73862596,-10.5417742,1222471857,14.94930697,0.017030796,0.058996849,1.12,0.13955024,6.01E-06,197,40.27959051,15-Jul,0.798444447,-4.17998523
7/16/16,st6,phosphorus,15.56304482,21.9373828,28.59048969,-29.85149592,-20.59290421,-10.73355942,3228667695,15.73699489,0.016101794,0.057534229,1.12,0.171580286,5.25E-06,198,40.16976297,16-Jul,1.06528844,1.34447859
7/17/16,st6,phosphorus,12.50735899,19.02615832,24.76796505,-31.13223929,-21.47487626,-10.99867044,1679332550,15.59382578,0.015445695,0.056324311,1.12,0.155637152,5.68E-06,199,40.18968052,17-Jul,0.885972896,-2.44871794
7/18/16,st6,phosphorus,16.53879368,24.24397106,32.04585594,-34.06755839,-23.19029902,-12.3654979,4054913212,16.18916202,0.016018467,0.057350601,1.12,0.175779428,5.99E-06,200,40.10698735,18-Jul,1.045435897,1.05367204
7/19/16,st6,phosphorus,14.51673154,21.10330625,28.49404599,-34.85869097,-23.73813733,-12.46016949,1976921438,15.96568467,0.015804621,0.056981957,1.12,0.173009357,5.66E-06,201,40.13798879,19-Jul,0.889004304,-2.63483108
7/20/16,st6,phosphorus,17.20866268,24.73109376,32.16236226,-40.19528819,-27.46017434,-15.27991662,2330622270,16.37524797,0.016886524,0.058831268,1.12,0.205670151,5.80E-06,202,40.08120947,20-Jul,0.900616779,-2.72908058
7/21/16,st6,phosphorus,11.55949148,17.01201977,22.58066392,-31.49453957,-22.04182058,-12.00384036,1408214285,16.04478068,0.014021585,0.052537476,1.12,0.16284174,6.57E-06,203,40.12701088,21-Jul,0.771806472,-5.02980081
7/22/16,st6,phosphorus,5.074981828,7.628216635,10.02834634,-14.27948315,-9.808073435,-5.351272737,1033693580,15.87542254,0.008911941,0.038824716,1.12,0.08507562,4.25E-06,204,40.15052381,22-Jul,0.777748728,-2.1798568
7/23/16,st6,phosphorus,6.899130512,10.22422978,13.54486507,-15.80941007,-10.74273427,-5.706031173,1584292660,15.98091946,0.009727413,0.041534419,1.12,0.113845645,3.57E-06,205,40.13587385,23-Jul,0.951734402,-0.51850449
7/24/16,st6,phosphorus,6.714325835,10.43155631,13.61063499,-18.14155864,-12.28226734,-5.84310758,1489384373,15.97746409,0.010025395,0.042547086,1.12,0.110827754,4.27E-06,206,40.13635352,24-Jul,0.849318454,-1.85071103
7/25/16,st6,phosphorus,5.374921467,8.38502554,11.36280252,-14.1692861,-9.493925547,-4.799047752,1064614680,16.06970086,0.008808659,0.038485614,1.12,0.082439034,4.19E-06,207,40.1235534,25-Jul,0.883198999,-1.108900007
7/26/16,st6,phosphorus,6.705737872,9.616816338,12.6648175,-10.49338859,-7.206331795,-3.730888403,3723904525,16.9810977,0.007913905,0.035332378,1.12,0.083926113,4.51E-06,208,39.99751217,26-Jul,1.334495359,2.410484543
7/27/16,st6,phosphorus,5.727238875,8.507611438,11.2643612,-10.47141634,-7.138122667,-3.797893732,3793183722,16.7820414,0.007292593,0.032908078,1.12,0.081920849,2.66E-06,209,40.02497294,27-Jul,1.191855595,1.369488771
7/28/16,st6,phosphorus,8.76008141,12.534072,16.26827412,-17.12186358,-11.60905957,-5.638998395,3423336179,16.40643871,0.008537374,0.037565472,1.12,0.111536878,4.92E-06,210,40.07689196,28-Jul,1.079680221,0.92501243
7/29/16,st6,phosphorus,8.224843742,11.69040324,15.06983203,-16.04826115,-10.74233381,-5.878950818,4287931135,16.39388625,0.008611263,0.037824445,1.12,0.10398027,4.33E-06,211,40.07862939,29-Jul,1.088255443,0.94806943
